model,precision,recall,F1,accuracy
rf_cv,0.4992630894509326,0.11169327006039691,0.18232233267717624,0.8222404806078275
xgb_cv,0.38208279029348624,0.21683563416738566,0.2763778324234126,0.7986942309391288
rf_cv_val,0.4461538461538462,0.11439842209072978,0.18210361067503925,0.8178321678321678
xgb_cv_val,0.3642611683848797,0.20907297830374755,0.2656641604010025,0.7951048951048951
xgb_cv_test,0.37037037037037035,0.21696252465483234,0.2736318407960199,0.7958041958041958
