model,precision,recall,F1,accuracy,auc
XGB FE CV,0.9033272068139292,0.881171548117155,0.8917646530025944,0.9645537920882703,0.9720833929483309
Random Forest FE CV,0.907708767657315,0.8728033472803347,0.8895613038189628,0.9641370291724376,0.967618453255444
Decision Tree FE CV,0.8218448835733666,0.9029288702928872,0.8600180243010318,0.9510699846613463,0.956733856549449
Decision Tree CV,0.9136553171385347,0.9138075313807532,0.913305810629782,0.9712256715131142,0.9697939094991991
Random Forest CV,0.9865042617337526,0.9087866108786612,0.9458113803644729,0.9827630066854107,0.9740675618222066
XGB CV,0.965908603028043,0.9112970711297071,0.9374481896664616,0.97984421649635,0.9830295556617964
