model,precision,recall,F1,accuracy,auc
XGB FE CV,0.9033272068139292,0.881171548117155,0.8917646530025944,0.9645537920882703,0.9720833929483309
Random Forest FE CV,0.907708767657315,0.8728033472803347,0.8895613038189628,0.9641370291724376,0.967618453255444
Decision Tree FE CV,0.8218448835733666,0.9029288702928872,0.8600180243010318,0.9510699846613463,0.956733856549449
