model,precision,recall,F1,accuracy
rf_cv,0.6876620854049075,0.8256073488208846,0.7503107138561352,0.7107752414342673
rf_cv_test,0.6793422404933196,0.8226509023024269,0.744159864902899,0.7022600720602686
xgb_cv,0.694267269497249,0.8112940920175975,0.7481693048283293,0.7124947743858918
xgb_cv_test,0.6869747899159664,0.8139390168014935,0.745086869837653,0.706845725515886
