actual,predicted,residual
14.0,12.35688222245755,1.6431177775424501
28.0,16.315054824840733,11.684945175159267
5.5,6.726838768259121,-1.226838768259121
15.5,16.22733044266444,-0.7273304426644387
9.5,10.536427922423456,-1.0364279224234565
23.5,20.917374634391525,2.582625365608475
39.5,37.033746567030924,2.4662534329690757
57.5,37.69721953709504,19.802780462904963
24.5,22.981878556762275,1.5181214432377246
8.0,8.691485827547485,-0.6914858275474849
32.0,31.917812632548753,0.08218736745124744
15.5,17.51932993679683,-2.0193299367968294
9.5,13.626089674393477,-4.1260896743934765
8.5,9.893614213565996,-1.3936142135659964
42.0,46.13846189501433,-4.138461895014331
24.5,16.603100836976722,7.896899163023278
9.5,8.368284241173384,1.1317157588266156
8.0,10.220529853316256,-2.220529853316256
3.5,6.424638814207499,-2.9246388142074986
14.5,15.685025934173332,-1.185025934173332
26.5,11.215497435735605,15.284502564264395
14.0,7.975135685710577,6.024864314289423
5.5,7.5874830585094095,-2.0874830585094095
32.0,32.75101726550475,-0.7510172655047498
27.5,27.321450000830716,0.1785499991692845
7.0,6.584958092668514,0.41504190733148594
8.5,5.7836956521026295,2.7163043478973705
7.0,9.004672370486976,-2.0046723704869756
11.0,12.912663925263601,-1.912663925263601
7.0,8.712629429570718,-1.7126294295707183
10.5,10.19761146286088,0.3023885371391195
14.5,13.977015769710643,0.5229842302893566
62.5,35.69780594814621,26.80219405185379
6.0,10.156342495909675,-4.156342495909675
8.0,11.998169927445797,-3.9981699274457974
8.0,8.061244079534266,-0.061244079534265694
6.0,6.708721338912106,-0.7087213389121061
21.5,19.431691695455505,2.0683083045444945
7.0,9.421114852003953,-2.421114852003953
24.0,23.859514443079554,0.14048555692044573
6.0,7.422316480908689,-1.4223164809086892
17.0,18.33831264500366,-1.3383126450036613
7.0,8.786082782140209,-1.786082782140209
27.0,34.90866755395625,-7.908667553956249
8.0,9.150166411478931,-1.1501664114789314
21.5,16.603433006442707,4.896566993557293
19.5,19.120515199342094,0.3794848006579059
6.0,8.233649379984076,-2.233649379984076
11.0,16.109225401350546,-5.109225401350546
8.0,6.542425888967698,1.4575741110323017
7.0,7.238076802992638,-0.23807680299263811
4.0,5.440698534625825,-1.4406985346258248
7.5,8.555675344286977,-1.0556753442869766
8.0,11.334169762265649,-3.334169762265649
52.0,51.97940277840371,0.020597221596290183
6.0,8.569404441097745,-2.5694044410977455
8.0,12.489204995857797,-4.489204995857797
13.0,13.83485586086019,-0.8348558608601895
18.5,14.181989251334242,4.318010748665758
7.5,7.024994596072502,0.475005403927498
8.5,7.665877084014974,0.8341229159850263
6.0,7.4672611313157,-1.4672611313157002
9.0,9.110553145249774,-0.11055314524977433
32.0,31.627083185106986,0.37291681489301354
20.0,20.16707769283135,-0.16707769283134866
8.5,8.735953947021537,-0.23595394702153705
14.5,9.486554085581224,5.013445914418776
14.5,9.552457207096149,4.947542792903851
14.5,15.771001612899344,-1.2710016128993438
30.0,5.377877435556814,24.622122564443185
11.0,8.426483823959042,2.5735161760409575
16.5,17.226406343787804,-0.7264063437878043
11.0,8.66874537143267,2.3312546285673292
10.0,11.64031108678157,-1.6403110867815691
17.0,16.718282030733235,0.28171796926676507
4.5,6.905520405177588,-2.4055204051775876
5.5,7.006426221626534,-1.5064262216265343
14.5,16.022220970126362,-1.5222209701263623
10.0,9.178503790886207,0.8214962091137927
12.5,9.259605581752034,3.2403944182479663
9.0,8.810425201572063,0.18957479842793745
11.5,14.599035021222317,-3.099035021222317
5.0,6.00861500249996,-1.00861500249996
9.0,7.635634364586692,1.364365635413308
4.0,6.094600657093638,-2.094600657093638
30.0,30.368399315822828,-0.3683993158228276
4.5,6.839970666352162,-2.339970666352162
13.5,7.591334421922144,5.908665578077856
5.0,7.59846258824504,-2.59846258824504
14.0,16.217125931230747,-2.217125931230747
19.0,19.102238263175668,-0.10223826317566775
8.5,10.15873936915328,-1.6587393691532792
17.0,7.929650902232083,9.070349097767917
8.0,8.56941684561486,-0.5694168456148603
11.5,13.480359990786383,-1.9803599907863827
15.5,13.061112024125292,2.4388879758747084
13.5,14.366500590024403,-0.8665005900244029
8.5,5.762573496704587,2.7374265032954126
11.0,15.974568424980998,-4.974568424980998
12.5,9.61977072209347,2.8802292779065297
11.0,10.719114645501367,0.2808853544986327
5.0,8.557705080336314,-3.557705080336314
8.5,6.424638814207499,2.0753611857925014
23.5,23.902040683324664,-0.4020406833246639
14.0,14.785860053908948,-0.785860053908948
7.0,11.000745831883425,-4.000745831883425
12.5,10.669539294382876,1.8304607056171243
11.5,11.094351717549568,0.40564828245043216
16.0,12.335272894609227,3.6647271053907726
9.5,10.83792205804086,-1.33792205804086
4.5,7.645505872516797,-3.1455058725167966
6.5,7.728982543112603,-1.2289825431126031
3.0,4.302189486983199,-1.302189486983199
16.5,20.58251930903541,-4.082519309035408
59.0,34.130296376896666,24.869703623103334
9.0,8.207687587834052,0.7923124121659484
12.5,14.509834920852066,-2.0098349208520663
38.5,35.757468395347594,2.742531604652406
8.0,8.137985997069633,-0.13798599706963266
13.0,10.233667586128881,2.766332413871119
6.0,7.247694365821996,-1.2476943658219959
6.5,6.584011321537062,-0.08401132153706214
11.5,12.181849691386182,-0.6818496913861818
14.0,13.36605862030842,0.6339413796915796
8.0,7.68652499203856,0.3134750079614399
